date,ticker,prediction_horizon_days,relevance,polarity,urgency,gemini_sentiment_score
2025-06-08,AAPL,3,1.5,1,3,4.5
2025-06-08,NVDA,3,1.5,1,3,4.5
2025-06-08,NVDA,20,1.5,1,3,4.5
2025-06-08,AAPL,3,10.0,1.0,10.0,100.0
2025-06-08,NVDA,3,10.0,1.0,8.0,80.0
2025-06-08,AAPL,20,10.0,1.0,10.0,100.0
2025-06-08,NVDA,20,10.0,1.0,8.0,80.0
2025-06-08,AAPL,3,10.0,1.0,9.0,90.0
2025-06-08,NVDA,3,8.0,1.0,7.0,56.0
2025-06-08,AAPL,20,10.0,1.0,9.0,90.0
2025-06-08,NVDA,20,9.0,1.0,7.0,63.0
2025-06-08,AAPL,3,10.0,1.0,10.0,100.0
2025-06-08,NVDA,3,8.0,1.0,7.0,56.0
2025-06-08,AAPL,20,10.0,1.0,9.0,90.0
2025-06-08,NVDA,20,9.0,1.0,7.0,63.0
New data:
{
  "relevance": 7,
  "polarity": -1,
  "urgency": 8,
  "brief_reasoning": "As of June 8, 2025, sentiment across the semiconductor sector shifted significantly bearish. Following flat revenue guidance from rival Broadcom, investors initiated broad profit-taking across chip stocks. This led to a steep decline in the broader semiconductor index and the Nasdaq at the end of the previous week, indicating immediate near-term downward pressure for NVDA over the next 3 days despite general long-term AI hardware demand."
}
{
  "relevance": 8,
  "polarity": 1,
  "urgency": 7,
  "brief_reasoning": "As of June 8, 2025, NVIDIA is fresh off key catalysts from the Computex 2025 trade show (held June 2-6), where CEO Jensen Huang announced an aggressive expansion into the AI PC market with the RTX Spark superchip and new telecom AI-RAN 6G partnerships. While the broader semiconductor sector experienced a short-term pullback leading into early June, robust demand metrics for Blackwell architecture, ongoing hyperscaler CapEx commitments, and new enterprise deployment pipelines (such as South Korean infrastructure deals) maintain strong bullish sentiment for the 20-day horizon."
}
{
  "relevance": 8,
  "polarity": 1,
  "urgency": 7,
  "brief_reasoning": "As of June 2025, NVIDIA continues to see strong market catalyst integration following its massive market capitalization milestones. Dominance in AI accelerator chips and the highly anticipated ramp-up of its next-generation Blackwell architecture serve as significant tangible catalysts. With over 90% market share and robust hyperscaler infrastructure demand, the operational outlook for the next 90 days remains highly bullish, though slightly tempered by conservative scaling expectations already partially priced in by the broader market."
}
